Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019
"Flowering and fruiting phenology, and physico-chemical characteristics of 2-year-old plants of six species of Opuntia from eight regions of Morocco","El Kharrassi, Youssef; Mazri, Mouaad Amine; Mabrouk, Achraf; Nasser, Boubker; El Mzouri, El Houssine",,,,JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,NOV 2015,2015,90,6,,,,682,688,,,,,1,0.25,0,0,0,0,1,0
Effects of natural and artificial selection on survival of columnar cacti seedlings: the role of adaptation to xeric and mesic environments,"Guillen, Susana; Terrazas, Teresa; Casas, Alejandro",,,,ECOLOGY AND EVOLUTION,MAY 2015,2015,5,9,,,,1759,1773,,10.1002/ece3.1478,,,1,0.25,0,0,0,0,1,0
Pollen Morphology and Reproductive Performances in Opuntia ficus-indica (L.) Mill.,"ElBehi, A. W.; Orlandi, F.; Bonofiglio, T.; Romano, B.; Fornaciari, M.; Inglese, P.; Sortino, G.; Liguori, G.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,217,223,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",1,0.25,0,0,0,0,1,0
Gibberellic Acid Application and Its Incidence on In Vitro Somatic Embryogenesis and Fruit Parthenocarpy in an Apomictic Cactus Pear (Opuntia ficus-indica (L.) Mill.) Clone,"Kaaniche-Elloumi, N.; Jedidi, E.; Mahmoud, K. B.; Chakroun, A.; Jemmali, A.",,,"Inglese, P; Liguori, G; Nefzaoui, A",VIII INTERNATIONAL CONGRESS ON CACTUS PEAR AND COCHINEAL,2015,2015,1067,,,,,225,229,,,8th International Congress on Cactus Pear and Cochineal,"OCT 28-31, 2013",1,0.25,0,0,0,0,1,0
"PRE-DISPERSAL SEED PREDATION OF THE COLUMNAR CACTUS (NEOBUXBAUMIA TETETZO, CACTACEAE) BY BIRDS IN CENTRAL MEXICO","Maria Contreras-Gonzalez, Ana; del Coro Arizmendi, Maria",,,,ORNITOLOGIA NEOTROPICAL,2014,2014,25,4,,,,373,387,,,,,1,0.2,0,0,0,1,0,0
Irrigation options to save water while enhancing export-size fruit and storability of Smooth Red' cactus pear,"Zegbe, Jorge A.; Serna-Perez, Alfonso",,,,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,NOV 2018,2018,98,14,,,,5503,5508,,10.1002/jsfa.9096,,,0,0,0,0,0,0,0,0
Microencapsulation of Purple Cactus Pear Fruit (Opuntia ficus indica) Extract by the Combined Method W/O/W Double Emulsion-Spray Drying and Conventional Spray Drying: A Comparative Study,"Toledo-Madrid, Keren; Gallardo-Velazquez, Tzayhri; Osorio-Revilla, Guillermo",,,,PROCESSES,OCT 2018,2018,6,10,,,,,,189,10.3390/pr6100189,,,0,0,0,0,0,0,0,0
Encapsulation of cactus (Opuntia megacantha) betaxanthins by ionic gelation and spray drying: A comparative study,"Carolina Otalora, Maria; Carriazo, Jose G.; Osorio, Coralia; Azucena Nazareno, Monica",,,,FOOD RESEARCH INTERNATIONAL,SEP 2018,2018,111,,,,,423,430,,10.1016/j.foodres.2018.05.058,,,0,0,0,0,0,0,0,0
Demographic processes and anthropogenic threats of lithophytic cacti in eastern Brazil,"Hughes, Frederic M.; Figueira, Jose E. C.; Jacobi, Claudia M.; Borba, Eduardo L.",,,,BRAZILIAN JOURNAL OF BOTANY,SEP 2018,2018,41,3,,,,631,640,,10.1007/s40415-018-0483-7,,,0,0,0,0,0,0,0,0
Reproductive ecology of Agave colorata: the importance of nectar-feeding bats and the germination consequences of self-pollination,"Berenice Borbon-Palomares, Dalia; Laborin-Sivirian, Flora; Tinoco-Ojanguren, Clara; Cristina Penalba, M.; Reyes-Ortega, Ivonne; Molina-Freaner, Francisco",,,,PLANT ECOLOGY,AUG 2018,2018,219,8,,,,927,939,,10.1007/s11258-018-0847-x,,,0,0,0,0,0,0,0,0
