ID,title,authors,source.title,publication.year,exclude,category,detailed.reason,notes,,
98,Effects of experimental early canopy closure on the growth and reproduction of spring ephemeral Erythronium japonicum in a montane deciduous forest,"Kim, Hyun Jung; Jung, Jong Bin; Jang, You Lim; Sung, Joo Han; Park, Pil Sun",JOURNAL OF PLANT BIOLOGY,2015,y,title,not cacti,,,
99,Complementary fruiting phenologies facilitate sharing of one pollinator fig wasp by two fig trees,"Liu, Gui-Xiang; Yang, Da-Rong; Peng, Yan-Qiong; Compton, Stephen G.",JOURNAL OF PLANT ECOLOGY,2015,y,title,not cacti,,,
100,Indirect costs counteract the effects of pollinator-mediated phenotypic selection on corolla size in the Mediterranean shrub Halimium atriplicifolium,"Teixido, Alberto L.",JOURNAL OF PLANT ECOLOGY,2014,y,title,not cacti,,,
101,Effects of pollination limitation and seed predation on female reproductive success of a deceptive orchid,"Walsh, Ryan P.; Arnold, Paige M.; Michaels, Helen J.",AOB PLANTS,2014,y,title,not cacti,,,
102,"The role of nutrients, productivity and climate in determining tree fruit production in European forests","Fernandez-Martinez, Marcos; Vicca, Sara; Janssens, Ivan A.; Maria Espelta, Josep; Penuelas, Josep",NEW PHYTOLOGIST,2017,y,title,not cacti,,,
103,"Disentangling plasticity of serotiny, a key adaptive trait in a Mediterranean conifer","Martin-Sanz, Ruth C.; Santos-del-Blanco, Luis; Notivol, Eduardo; Regina Chambel, M.; San-Martin, Roberto; Climent, Jose",AMERICAN JOURNAL OF BOTANY,2016,y,title,not cacti,,,
104,"Flowering schedule in a perennial plant; life-history trade-offs, seed predation, and total offspring fitness","Ehrlen, Johan; Raabova, Jana; Dahlgren, Johan P.",ECOLOGY,2015,y,abstract,not cacti,,,
105,The consequences of demand-driven seed provisioning for sexual differences in reproductive investment in Thalictrum occidentale (Ranunculaceae),"Ida, Takashi Y.; Harder, Lawrence D.; Kudo, Gaku",JOURNAL OF ECOLOGY,2015,y,title,not cacti,,,
106,The size at reproduction of canopy tree species in central Africa,"Ouedraogo, Dakis-Yaoba; Doucet, Jean-Louis; Dainou, Kasso; Baya, Fidele; Biwole, Achille Bernard; Bourland, Nils; Feteke, Fousseni; Gillet, Jean-Francois; Kouadio, Yao Lambert; Fayolle, Adeline",BIOTROPICA,2018,y,title,not cacti,,,
107,Seedling performance covaries with dormancy thresholds: maintaining cryptic seed heteromorphism in a fire-prone system,"Liyanage, Ganesha S.; Ayre, David J.; Ooi, Mark K. J.",ECOLOGY,2016,y,abstract,not cacti,,,
108,Reproductive strategy of Copaifera langsdorffii (Fabaceae): more seeds or better seeds?,"Souza, Matheus Lopes; Solar, Ricardo Ribeiro; Fagundes, Marcilio",REVISTA DE BIOLOGIA TROPICAL,2015,y,title,not cacti,,,
109,"The influence of light habitat on the physiology, biomass allocation, and fecundity of the invasive shrub Amur honeysuckle (Lonicera maackii, Caprifoliaceae)","Lieurance, Deah; Landsbergen, Kim",JOURNAL OF THE TORREY BOTANICAL SOCIETY,2016,y,title,not cacti,,,
110,Alterations in flowering strategies and sexual allocation of Caragana stenophylla along a climatic aridity gradient,"Xie, Lina; Guo, Hongyu; Ma, Chengcang",SCIENTIFIC REPORTS,2016,y,title,not cacti,,,
111,"Bird pollinators, seed storage and cockatoo granivores explain large woody fruits as best seed defense in Hakea","Lamont, Byron B.; Hanley, Mick E.; Groom, Philip K.; He, Tianhua",PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2016,y,title,not allocation,,,
112,Site-specific reproductive performance of an invasive fleshy-fruited tree in remnant grasslands of the Argentinean Pampas,"Zalba, S. M.; Amodeo, M. R.",WEED RESEARCH,2015,y,title,not cacti,,,
113,Sex-specific reproductive components and pollination ecology in the subdioecious shrub Fuchsia microphylla,"Cuevas, E.; Jimenez, R.; Lopezaraiza-Mikel, M.",PLANT BIOLOGY,2014,y,title,not cacti,,,
114,CHANGING REPRODUCTIVE EFFORT WITHIN A SEMELPAROUS REPRODUCTIVE EPISODE,"Hughes, P. William; Simons, Andrew M.",AMERICAN JOURNAL OF BOTANY,2014,y,abstract,not cacti,,,
115,Relative resource allocation to dispersal and competition demonstrates the putative role of hybridity in geographical parthenogenesis,"Coughlan, Jennifer M.; Stefanovic, Sasa; Dickinson, Timothy A.",JOURNAL OF BIOGEOGRAPHY,2014,y,abstract,not cacti,,,
116,Egg and time limitation mediate an egg protection strategy,"Deas, J. B.; Hunter, M. S.",JOURNAL OF EVOLUTIONARY BIOLOGY,2014,y,title,not cacti,,,
117,THE TRADE-OFF AND ALTITUDINAL VARIATIONS IN SEED WEIGHT-NUMBER IN SINOPODOPHYLLUM HEXANDRUM (ROYLE) YING (BERBERIDACEAE) POPULATIONS FROM THE HENGDUAN MOUNTAINS,"Meng, Li-Hua; Wang, Yun; Luo, Jian; Yang, Yong-Ping; Duan, Yuan-Wen",POLISH JOURNAL OF ECOLOGY,2014,y,title,not cacti,,,
118,Floral biology and pollination mechanisms of four Mexico-endemic Fuchsia species with contrasting reproductive systems,"Gonzalez, Clementina; Alvarez-Banos, Anai; Cuevas, Eduardo",JOURNAL OF PLANT ECOLOGY,2018,y,title,not cacti,,,
119,Pre-dispersal predation effect on seed packaging strategies and seed viability,"DeSoto, Lucia; Tutor, David; Torices, Ruben; Rodriguez-Echeverria, Susana; Nabais, Cristina",OECOLOGIA,2016,y,abstract,not cacti,,,
120,"REPRODUCTIVE SUCCESS OF THE GYNODIOECIOUS LOBELIA SPICATA LAM. (CAMPANULACEAE): FEMALE FREQUENCY, POPULATION DEMOGRAPHICS, AND LATITUDINAL PATTERNS","Ruffatto, Danielle M.; Zaya, David N.; Molano-Flores, Brenda",INTERNATIONAL JOURNAL OF PLANT SCIENCES,2015,y,title,not cacti,,,
121,"Variation in reproductive modes and population genetic structures of a monocarpic perennial herb, Cardiocrinum cordatum, in relation to habitat fragmentation","Narumi, Tadashi; Ohara, Masashi",PLANT SPECIES BIOLOGY,2018,y,title,not cacti,,,
122,"Restricted female function of hermaphrodites in a gynodioecious shrub, Daphne jezoensis (Thymelaeaceae)","Shibata, Akari; Kameyama, Yoshiaki; Kudo, Gaku",JOURNAL OF PLANT RESEARCH,2018,y,title,not cacti,,,
123,Allocation to clonal and sexual reproduction and its plasticity in Vallisneria spinulosa along a water-depth gradient,"Li, Lei; Lan, Zhichun; Chen, Jiakuan; Song, Zhiping",ECOSPHERE,2018,y,title,not cacti,,,
124,Limiting the cost of mutualism: the defensive role of elongated gynophore in the leafflower-moth mutualism,"Furukawa, Saori; Kawakita, Atsushi",OECOLOGIA,2017,y,title,not cacti,,,
125,"The effects of local variation in light availability on pollinator visitation, pollen and resource limitation of female reproduction in Hosta ventricosa","Cao, Guo-Xing; Wu, Bi-Xian; Xu, Xu-Jian; Wang, Xie; Yang, Chun-Ping",BOTANICAL STUDIES,2017,y,title,not cacti,,,
126,"Pollen limitation, plasticity in floral traits, and mixed mating system in an alpine plant Pedicularis siphonantha (Orobanchaceae) from different altitudes","Dai, Wen-Kui; Kadiori, Edwin Luguba; Wang, Qing-Feng; Yang, Chun-Feng",JOURNAL OF SYSTEMATICS AND EVOLUTION,2017,y,title,not cacti,,,
127,Leafing intensity and the fruit size/number trade-off in woody angiosperms,"Dombroskie, Sarah L.; Tracey, Amanda J.; Aarssen, Lonnie W.",JOURNAL OF ECOLOGY,2016,y,full text,not cacti,valuable for broad concepts,,
128,"Chemotaxonomic perspectives of the Paracaryum (Cynoglosseae, Boraginaceae) taxa based on fruit fatty acid","Dogru-Koca, Asli; Ozcan, Tamer; Yildirimli, Sinasi",PHYTOCHEMISTRY,2016,y,title,not cacti,,,
129,"Effect of rosette size, clonality and spatial distribution on the reproduction of Vriesea carinata (Bromeliaceae) in the Atlantic Forest of Parana, southern Brazil","de Souza Silva, Marcelo Aparecido; Varassin, Isabela Galarda",ACTA BOTANICA BRASILICA,2016,y,title,not cacti,,,
130,Snakes and forbidden fruits: non-consumptive effects of snakes on the behaviors of frugivorous birds,"Breviglieri, Crasso Paulo B.; Romero, Gustavo Q.",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2016,y,title,not cacti,,,
131,Differences in disturbance type and nutrient availability favour different functional traits across three co-occurring montane wetland systems in eastern Australia,"Hunter, John T.",AUSTRALIAN JOURNAL OF BOTANY,2016,y,title,not cacti,,,
132,The effect of phenological variation in sex expression on female reproductive success in Saxifraga granulata,"van der Meer, Sascha; Jacquemyn, Hans",AMERICAN JOURNAL OF BOTANY,2015,y,title,not cacti,,,
133,Priority of 5% Quince Seed Cream Versus 1% Phenytoin Cream in the Healing of Skin Ulcers: A Randomized Controlled Trial,"Omidian, Mohamad; Hemmati, Ali Asghar; Farajzade, Hamide; Houshmand, Gholamreza; Sattari, Alireza; Kouchak, Maryam",JUNDISHAPUR JOURNAL OF NATURAL PHARMACEUTICAL PRODUCTS,2015,y,title,not cacti,,,
134,Variation in Sex Allocation and Floral Morphology in an Expanding Distylous Plant Hybrid Complex,"Ward, Jennifer Rhode; Cowart, M. Leigh; Clifford, Julie; Camp, Mieko; Cruzan, Mitchell B.",INTERNATIONAL JOURNAL OF PLANT SCIENCES,2014,y,title,not cacti,,,
135,Adaptive decision making or differential mortality: what causes offspring emergence in a gregarious parasitoid?,"Koppik, Mareike; Thiel, Andra; Hoffmeister, Thomas S.",ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,2014,y,title,not cacti,,,
136,Variation of vegetative and reproductive traits in Cistus laurifolius: evidences of a response to contrasting habitat conditions,"D'Antraccoli, Marco; Roma-Marzio, Francesco; Astuti, Giovanni; Bedini, Gianni; Ciccarelli, Daniela; Peruzzi, Lorenzo; Carta, Angelino",FLORA,2018,y,title,not cacti,,,
137,Chronic leaf harvesting reduces reproductive success of a tropical dry forest palm in northern Mexico,"Lopez-Toledo, Leonel; Perez-Decelis, Angeles; Macedo-Santana, Franceli; Cuevas, Eduardo; Endress, Bryan A.",PLOS ONE,2018,y,title,not cacti,,,
138,A multi-level test of the seed number/size trade-off in two Scandinavian communities,"Lazaro, Amparo; Larrinaga, Asier R.",PLOS ONE,2018,y,title,not cacti,,,
139,Excessive flower production as an anti-predator strategy: when is random flower abortion favored?,"Ezoe, Hideo",POPULATION ECOLOGY,2018,y,title,not fruit,,,
140,A mosaic of phenotypic variation in giant ragweed (Ambrosia trifida): Local- and continental-scale patterns in a range-expanding agricultural weed,"Hovick, Stephen M.; McArdle, Andrea; Harrison, S. Kent; Regnier, Emilie E.",EVOLUTIONARY APPLICATIONS,2018,y,title,not cacti,,,
141,Presence of fruits decreases probability of retaining flowers in a sequentially flowering plant,"Jadeja, Shivani; Tenhumberg, Brigitte",AOB PLANTS,2018,y,abstract,not cacti,,,
142,Pollination and reproduction of an invasive plant inside and outside its ancestral range,"Petanidou, Theodora; Price, Mary V.; Bronstein, Judith L.; Kantsa, Aphrodite; Tscheulin, Thomas; Kariyat, Rupesh; Krigas, Nikos; Mescher, Mark C.; De Moraes, Consuelo M.; Waser, Nickolas M.",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2018,y,title,not cacti,,,
143,The Domestication of the Amazon Tree Grape (Pourouma cecropiifolia) Under an Ecological Lens,"Pedrosa, Hermisia C.; Clement, Charles R.; Schietti, Juliana",FRONTIERS IN PLANT SCIENCE,2018,y,title,not cacti,,,
144,The enigma of sex allocation in Selaginella,"Petersen, Kurt B.; Burd, Martin",ANNALS OF BOTANY,2018,y,title,not cacti,,,
145,Functional trade-offs and the phylogenetic dispersion of seed traits in a biodiversity hotspot of the Mountains of Southwest China,"Chen, Kai; Burgess, Kevin S.; Yang, Xiang-Yun; Luo, Ya-Huang; Gao, Lian-Ming; Li, De-Zhu",ECOLOGY AND EVOLUTION,2018,y,abstract,not cacti,,,
146,Combined effects of seed and soil quality drive seedling performance of a late-successional canopy tree in a tropical forest,"Zambrano, Jenny; Howe, Henry F.; Gonzalez-Meler, Miquel",BIOTROPICA,2017,y,title,not cacti,,,
147,Tracing coco de mer's reproductive history: Pollen and nutrient limitations reduce fecundity,"Morgan, Emma J.; Kaiser-Bunbury, Christopher N.; Edwards, Peter J.; Fleischer-Dogley, Frauke; Kettle, Chris J.",ECOLOGY AND EVOLUTION,2017,y,title,not cacti,,,
148,Habitat Differences in Morphology and Reproductive Allocation in Guettarda scabra (Rubiaceae),"Koptur, Suzanne; Garcia, Diane",CASTANEA,2017,y,title,not cacti,,,
149,Cacao (Theobroma cacao L.) seedlings growth in different pot sizes,"Osorio G, Monica Andrea; Leiva R, Edna Ivonne; Ramirez P, Ramiro",REVISTA DE CIENCIAS AGRICOLAS,2017,y,title,not cacti,,,
150,Variation in seed packaging of a fleshy-fruited conifer provides insights into the ecology and evolution of multi-seeded fruits,"DeSoto, L.; Torices, R.; Rodriguez-Echeverria, S.; Nabais, C.",PLANT BIOLOGY,2017,y,title,not cacti,,,
151,Sex allocation in gynodioecious Cyananthus delavayi differs between gender morphs and soil quality,"Chen, Jianguo; Niu, Yang; Li, Zhimin; Yang, Yang; Sun, Hang",PLANT REPRODUCTION,2017,y,title,not cacti,,,
152,Female fruit production depends on female flower production and crown size rather than male density in a continuous population of a tropical dioecious tree (Virola surinamensis),"Riba-Hernandez, Pablo; Lobo Segura, Jorge; Munoz-Valverde, Jenny",AMERICAN JOURNAL OF BOTANY,2016,y,title,not cacti,,,
153,Sink strength manipulation in branches of a Mediterranean woody plant suggests sink-driven allocation of biomass in fruits but not of nutrients in seeds,"Catalan, Pablo; Delgado, Juan A.; Jimenez, Maria D.; Balaguer, Luis",ACTA PHYSIOLOGIAE PLANTARUM,2016,y,abstract,not cacti,,,
154,Characterization of seeds from a tropical evergreen forest of western Cuba. Ecological correlations among traits,"Montejo Valdes, Laura A.; Sanchez, Jorge A.; Munoz, Barbara C.; Gamboa, Alejandro",BOSQUE,2015,y,title,not cacti,,,
155,"Effects of maternal nutrient and water availability on seed production, size and germination of heterocarpic Atriplex aucheri","Wang, L.; Wang, H. L.; Zhang, K.; Tian, C. Y.",SEED SCIENCE AND TECHNOLOGY,2015,y,title,not cacti,,,
156,"Betalain Profile, Phenolic Content, and Color Characterization of Different Parts and Varieties of Opuntia ficus-indica","Jesus Cejudo-Bastante, Maria; Chaalal, Makhlouf; Louaileche, Hayette; Parrado, Juan; Heredia, Francisco J.",JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,2014,y,abstract,not allocation,,,
157,"Dietary fiber, phytochemical composition and antioxidant activity of Mexican commercial varieties of cactus pear","Maria Jimenez-Aguilar, Dulce; Melissa Lopez-Martinez, Julieta; Hernandez-Brenes, Carmen; Alejandra Gutierrez-Uribe, Janet; Welti-Chanes, Jorge",JOURNAL OF FOOD COMPOSITION AND ANALYSIS,2015,y,title,not allocation,,,
158,Phenolic content and antioxidant activity of cactus (Opuntia ficus-indica L.) flowers are modified according to the extraction method,"Ammar, Imene; Ennouri, Monia; Attia, Hamadi",INDUSTRIAL CROPS AND PRODUCTS,2015,y,title,not fruit,,,
159,Pollination and seed dispersal of Melocactus ernestii Vaupel subsp ernestii (Cactaceae) by lizards: an example of double mutualism,"Gomes, V. G. N.; Quirino, Z. G. M.; Machado, I. C.",PLANT BIOLOGY,2014,y,title,not allocation,,,
160,Exploring xoconostle by-products as sources of bioactive compounds,"Morales, Patricia; Barros, Lillian; Ramirez-Moreno, Esther; Santos-Buelga, Celestino; Ferreira, Isabel C. F. R.",FOOD RESEARCH INTERNATIONAL,2014,y,title,not allocation,,,
161,Frugivory and seed dispersal by birds in Cereus jamacaru DC. ssp jamacaru (Cactaceae) in the Caatinga of Northeastern Brazil,"Gomes, V. G. N.; Quirino, Z. G. M.; Araujo, H. F. P.",BRAZILIAN JOURNAL OF BIOLOGY,2014,y,title,not allocation,,,
162,"Inter- and intra-specific variation in fruit biomass, number of seeds, and physical characteristics of seeds in Opuntia spp., Cactaceae","Lopez-Palacios, Cristian; Pena-Valdivia, Cecilia B.; Antonio Reyes-Agueero, J.; Rogelio Aguirre-Rivera, J.; Ramirez-Tobias, Hugo M.; Marcos Soto-Hernandez, Ramon; Francisco Jimenez-Bremont, Juan",GENETIC RESOURCES AND CROP EVOLUTION,2015,y,full text,does not report values of interest,does report p-values,,
163,Cacti supply limited nutrients to a desert rodent community,"Orr, Teri J.; Newsome, Seth D.; Wolf, Blair O.",OECOLOGIA,2015,y,abstract,not allocation,,,
164,Anticancer Properties of Extracts from Opuntia humifusa Against Human Cervical Carcinoma Cells,"Hahm, Sahng-Wook; Park, Jieun; Oh, Se-Yeong; Lee, Chul-Won; Park, Kun-Young; Kim, Hyunggee; Son, Yong-Suk",JOURNAL OF MEDICINAL FOOD,2015,y,title,not allocation,,,
165,Generalized pollination system: Are floral traits adapted to different pollinators?,"Lemaitre, Andrea B.; Pinto, Carlos F.; Niemeyer, Hermann M.",ARTHROPOD-PLANT INTERACTIONS,2014,y,title,not fruit,,,
166,Asynchronous ripening behavior of cactus pear (Opuntia ficus-indica) cultivars with respect to physicochemical and physiological attributes,"Kyriacou, M. C.; Emmanouilidou, M. G.; Soteriou, G. A.",FOOD CHEMISTRY,2016,n,,,include,,
167,Cactus (Opuntia humifusa) water extract ameliorates loperamide-induced constipation in rats,"Han, Sung Hee; Park, Kyungmi; Kim, Eun Young; Ahn, So Hyun; Lee, Hyun-Sun; Suh, Hyung Joo",BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,2017,y,title,not allocation,,,
168,Genetic diversity and structure of populations in Pilosocereus gounellei (FACWeber ex K.Schum.) (Cactaceae) in the Caatinga biome as revealed by heterologous microsatellite primers,"Monteiro, Eliane Rodrigues; Mangolin, Claudete Aparecida; das Neves, Andrea Florindo; Orasmo, Gleice Ribeiro; Medeiros da Silva, Jose Geraldo; Pires da Silva Machado, Maria de Fatima",BIOCHEMICAL SYSTEMATICS AND ECOLOGY,2015,y,title,not allocation,,,
169,Fractionation and electrophoretic patterns of seed protein of Opuntia genus. A preliminary survey as a tool for accession differentiation and taxonomy,"Samah, Samir; Ventura-Zapata, Elsa; Valadez-Moctezuma, Ernestina",BIOCHEMICAL SYSTEMATICS AND ECOLOGY,2015,y,title,not allocation,,,
170,"STORAGE AND SEEDS GERMINATION STENOCEREUS THURBERI, A CACTUS WITH OPTIONAL VIVIPARITY","Bersain Perez-Gonzalez, Santos; Reyes-Olivas, Alvaro; Garcia-Moya, Edmundo; Romero-Manzanares, Angelica; Rodolfo Garcia-Nava, Jose; Lugo-Garcia, Gabriel A.; Sanchez-Soto, Bardo",BOTANICAL SCIENCES,2015,y,abstract,not allocation,,,
171,Quality attributes of cactus pear fruit and their role in consumer choice The case of Italian consumers,"Migliore, Giuseppina; Galati, Antonino; Romeo, Pietro; Crescimanno, Maria; Schifani, Giorgio",BRITISH FOOD JOURNAL,2015,y,title,not allocation,,,
172,Development of plasticized edible films from Opuntia ficus-indica mucilage: A comparative study of various polyol plasticizers,"Gheribi, Rim; Puchot, Laura; Verge, Pierre; Jaoued-Grayaa, Najeh; Mezni, Mohamed; Habibi, Youssef; Khwaldia, Khaoula",CARBOHYDRATE POLYMERS,2018,y,title,not allocation,,,
173,Sicilian Opuntia ficus-indica seed oil: Fatty acid composition and bio-economical aspects,"Ciriminna, Rosaria; Bongiorno, David; Scurria, Antonino; Danzi, Carmelo; Timpanaro, Giuseppe; Delisi, Riccardo; Avellone, Giuseppe; Pagliaro, Mario",EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2017,y,title,not allocation,,,
174,QUALITY ASSESSMENT OF SEED OIL FROM SELECTED CACTUS PEAR CULTIVARS (OPUNTIA FICUS-INDICA AND OPUNTIA ROBUSTA),"De Wit, Maryna; Hugo, Arno; Shongwe, Nokuthula",JOURNAL OF FOOD PROCESSING AND PRESERVATION,2017,y,title,not allocation,,,
175,Pollination biology of Echinopsis leucantha (Cactaceae): passerine birds and exotic bees as effective pollinators,"Gorostiague, Pablo; Ortega-Baes, Pablo",BOTANY,2017,y,title,not allocation,,,
176,Lignans from Opuntia ficus-indica seeds protect rat primary hepatocytes and HepG2 cells against ethanol-induced oxidative stress,"Kim, Jung Wha; Yang, Heejung; Kim, Hyeon Woo; Kim, Hong Pyo; Sung, Sang Hyun",BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,2017,y,title,not allocation,,,
177,Population Genetic Structure of a Widespread Bat-Pollinated Columnar Cactus,"Bustamante, Enriquena; Burquez, Alberto; Scheinvar, Enrique; Enrique Eguiarte, Luis",PLOS ONE,2016,y,title,not allocation,,,
178,"The role of mucilage in the germination of Leptocereus scopulophilus (Cactaceae) seeds from Pan de Matanzas, Cuba","Barrios, Duniel; Flores, Joel; Gonzalez-Torres, Luis R.; Palmarola, Alejandro",BOTANY,2015,y,title,not allocation,,,
179,Physicochemical variability and nutritional and functional characteristics of xoconostles (Opuntia spp.) accessions from Mexico,"Hernandez-Fuentes, Alma D.; Trapala-Islas, Angelica; Gallegos-Vasquez, Clemente; Campos-Montiel, Rafael G.; Pinedo-Espinoza, Jose M.; Guzman-Maldonado, Salvador H.",Fruits,2015,y,abstract,not allocation,,,
180,"Genetic diversity and structure of wild and managed populations of Polaskia chende (Cactaceae) in the Tehuacan-Cuicatlan Valley, Central Mexico: insights from SSR and allozyme markers","Contreras-Negrete, Gonzalo; Eva Ruiz-Duran, M.; Cabrera-Toledo, Danae; Casas, Alejandro; Vargas, Ofelia; Parra, Fabiola",GENETIC RESOURCES AND CROP EVOLUTION,2015,y,title,not fruit,,,
181,Identification and expression analysis of ethylene biosynthesis and signaling genes provides insights into the early and late coffee cultivars ripening pathway,"Sagio, Solange A.; Barreto, Horllys G.; Lima, Andre A.; Moreira, Rafael O.; Rezende, Pamela M.; Paiva, Luciano V.; Chalfun-Junior, Antonio",PLANTA,2014,y,title,not cacti,,,
182,EMBRYOLOGY AND SEED DEVELOPMENT IN PERESKIA LYCHNIDIFLORA (CACTACEAE),"Jimenez-Duran, Karina; Arias-Montes, Salvador; Cortes-Palomec, Aurea; Marquez-Guzman, Judith",HASELTONIA,2014,y,full text,does not compare across seed or fruit metrics,,,
183,Opuntia ficus-indica seed oil: Biorefinery and bioeconomy aspects,"Ciriminna, Rosaria; Delisi, Riccardo; Albanese, Lorenzo; Meneguzzo, Francesco; Pagliaro, Mario",EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2017,y,title,not allocation,,,
184,"Seed removal by lizards and effect of gut passage on germination in a columnar cactus of the Caatinga, a tropical dry forest in Brazil","Gomes, V. G. N.; Meiado, M. V.; Quirino, Z. G. M.; Machado, I. C.",JOURNAL OF ARID ENVIRONMENTS,2016,y,title,not allocation,,,
185,Baseline study of morphometric traits of wild Capsicum annuum growing near two biosphere reserves in the Peninsula of Baja California for future conservation management,"Murillo-Amador, Bernardo; Omar Rueda-Puente, Edgar; Troyo-Dieguez, Enrique; Victor Cordoba-Matson, Miguel; Guillermo Hernandez-Montiel, Luis; Nieto-Garibay, Alejandra",BMC PLANT BIOLOGY,2015,y,title,not fruit,,,
186,"A new species of the genus Opuntia (Cactaceae) for the state of Veracruz, Mexico","Scheinvar, Leia; Olalde-Parra, Gabrel; Gallegos-Vazquez, Clemente",BOTANICAL SCIENCES,2015,y,title,not fruit,,,
187,Embryology of Mammillaria dioica (Cactaceae) reveals a new male sterility phenotype,"Sanchez, Daniel; Vazquez-Santana, Sonia",FLORA,2018,y,title,not allocation,,,
188,South African Cactus Pear Seed Oil: A Comprehensive Study on 42 Spineless Burbank Opuntia ficus-indica and Opuntia robusta Cultivars,"de Wit, Maryna; Hugo, Arno; Shongwe, Nokuthula",EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2018,y,title,not allocation,,,
189,Reverse Effect of Opuntia ficus-indica L. Juice and Seeds Aqueous Extract on Gastric Emptying and Small-Bowel Motility in Rat,"Rtibi, Kais; Selmi, Slimen; Saidani, Khouloud; Grami, Dhekra; Amri, Mohamed; Sebai, Hichem; Marzouki, Lamjed",JOURNAL OF FOOD SCIENCE,2018,y,title,not allocation,,,
190,"Advantages of vivipary in Echinocactus platyacanthus, an endemic and protected Mexican cactus species","Luis Aragon-Gastelum, Jose; Flores, Joel; Yanez-Espinosa, Laura; Reyes-Olivas, Alvaro; Pablo Rodas-Ortiz, Juan; Robles-Diaz, Erika; Javier Gonzalez, Francisco",JOURNAL OF ARID ENVIRONMENTS,2017,y,abstract,not allocation,,,
191,Seed removal in a tropical North American desert: an evaluation of pre- and post-dispersal seed removal in Stenocereus stellatus,"Alvarez-Espino, R.; Rios-Casanova, L.; Godinez-Alvarez, H.",PLANT BIOLOGY,2017,y,abstract,not allocation,,,
192,Optimization of Ultrasound Extraction of Cactus Pear (Opuntia ficus indica) Seed Oil Based on Antioxidant Activity and Evaluation of Its Antimicrobial Activity,"de los Angeles Ortega-Ortega, Maria; del Socorro Cruz-Cansino, Nelly; Alanis-Garcia, Ernesto; Delgado-Olivares, Luis; Alberto Ariza-Ortega, Jose; Ramirez-Moreno, Esther; de Jesus Manriquez-Torres, Jose",JOURNAL OF FOOD QUALITY,2017,y,title,not allocation,,,
193,Antioxidant and Antimicrobial Properties of Cactus Pear (Opuntia) Seed Oils,"Ramirez-Moreno, Esther; Carino-Cortes, Raquel; del Socorro Cruz-Cansino, Nelly; Delgado-Olivares, Luis; Alberto Ariza-Ortega, Jose; Yelina Montanez-Izquierdo, Vanessa; Manuela Hernandez-Herrero, Maria; Filardo-Kerstupp, Tomas",JOURNAL OF FOOD QUALITY,2017,y,title,not allocation,,,
194,Physical characterization of Rhipsalis (Cactaceae) fruits and seeds germination in different temperatures and light regimes,"Lone, A. B.; Colombo, R. C.; Andrade, B. L. G.; Takahashi, L. S. A.; Faria, R. T.",BRAZILIAN JOURNAL OF BIOLOGY,2016,y,abstract,not allocation,,,
195,Changes in physical and chemical properties of Opuntia dillenii fruits during the growing stages,"Gaballah, Amal A.; Embaby, Hassan El-Sayed; Hamed, Yahya S.; El-Samahy, Salah K.",JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,2016,y,full text,does not report values of interest,,,
196,Establishment of callus and cell suspensions of wild and domesticated Opuntia species: study on their potential as a source of metabolite production,"Robles-Martinez, Marissa; Paulina Barba-de la Rosa, Ana; Gueraud, Francoise; Negre-Salvayre, Anne; Rossignol, Michel; del Socorro Santos-Diaz, Maria",PLANT CELL TISSUE AND ORGAN CULTURE,2016,y,title,not fruit,,,
197,Minerals of cactus (Opuntia dillenii): cladode and,"Kalegowda, Pavithra; Haware, Devendra Jagannath; Rajarathnam, Somasundaram; Shashirekha, Mysore Nanjarajurs",CURRENT SCIENCE,2015,y,title,not fruit,,,
198,"Dietary fiber, mineral elements profile and macronutrients composition in different edible parts of Opuntia microdasys (Lehm.) Pfeiff and Opuntia macrorhiza (Engelm.)","Chandoura, Hassiba; Morales, Patricia; Barreira, Joao C. M.; Barros, Lillian; Fernandez-Ruiz, Virginia; Ferreira, Isabel C. F. R.; Achour, Lotfi",LWT-FOOD SCIENCE AND TECHNOLOGY,2015,y,title,not allocation,,,
199,"Opuntia leiascheinvariana, new species of Cactaceae from the state of Hidalgo, Mexico","Ramiro Martinez-Gonzalez, Cesar; Gallegos-Vazquez, Clemente; Luna-Vega, Isolda; Garcia-Sandoval, Ricardo",BOTANICAL SCIENCES,2015,y,title,not fruit,,,
200,EFFECTS OF SEED INGESTION BY THE LESSER LONG-NOSED BAT LEPTONYCTERIS YERBABUENAE ON THE GERMINATION OF THE GIANT CACTUS ISOLATOCEREUS DUMORTIERI,"Rojas-Martinez, Alberto E.; Pavon, Numa P.; Castillo, Juan P.",SOUTHWESTERN NATURALIST,2015,y,title,not allocation,,,
