ID,title,authors,source.title,publication.year,exclude,category,detailed.reason,notes,,
69,"An integrative approach to understanding the evolution and diversity of Copiapoa (Cactaceae), a threatened endemic Chilean genus from the Atacama Desert","Larridon, Isabel; Walter, Helmut E.; Guerrero, Pablo C.; Duarte, Milen; Cisternas, Mauricio A.; Pena Hernandez, Carol; Bauters, Kenneth; Asselman, Pieter; Goetghebeur, Paul; Samain, Marie-Stephanie",AMERICAN JOURNAL OF BOTANY,2015,y,title,not allocation,,,
70,Stem tilting in the inter-tropical cactus Echinocactus platyacanthus: an adaptive solution to the trade-off between radiation acquisition and temperature control,"Herce, M. F.; Martorell, C.; Alonso-Fernandez, C.; Boullosa, L. F. V. V.; Meave, J. A.",PLANT BIOLOGY,2014,y,title,not allocation,,,
71,Chemical and Physical Defense Traits in Two Sexual Forms of Opuntia robusta in Central Eastern Mexico,"Krzysztof Janczur, Mariusz; Leon Solano, Hector Javier; Solache Ramos, Lupita Tzenyatze; Mendoza Reyes, Citlalli Hypatia; Oro Cerro, Maria del Carmen; Mariezcurrena Berasain, Maria Dolores; Rivas Manzano, Irma Victoria; Manjarrez, Javier; Villareal Benitez, Jose Luis; Czarnoleski, Marcin",PLOS ONE,2014,y,full text,not fruit,,,
72,Using spatially-explicit population models to evaluate habitat restoration plans for the San Diego cactus wren (Campylorhynchus brunneicapillus sandiegensis),"Conlisk, Erin; Motheral, Sara; Chung, Rosa; Wisinski, Colleen; Endress, Bryan",BIOLOGICAL CONSERVATION,2014,y,title,not cacti,,,
73,Modeling of the Dorsal Gradient across Species Reveals Interaction between Embryo Morphology and Toll Signaling Pathway during Evolution,"Ambrosi, Priscilla; Chahda, Juan Sebastian; Koslen, Hannah R.; Chiel, Hillel J.; Mizutani, Claudia Mieko",PLOS COMPUTATIONAL BIOLOGY,2014,y,title,not fruit,,,
74,Seed germination and seedling growth of the geophytic Pterocactus tuberosus (Cactaceae),"Kin, Alicia G.; Mazzola, Monica B.; Cenizo, Viviana J.",JOURNAL OF THE TORREY BOTANICAL SOCIETY,2015,y,title,not allocation,,,
75,A multi-objective optimization approach for invasive species control,"Bueyuektahtakin, I. Esra; Feng, Zhuo; Szidarovszky, Ferenc",JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,2014,y,title,not cacti,,,
76,Tracking Nutrient Routing in Avian Consumers in a Subtropical Desert,"Gerardo Herrera, L. M.; Jazmin Osorio, M.",BIOTROPICA,2016,y,title,not allocation,,,
77,Cache Hierarchy Optimization,"Yavits, Leonid; Morad, Amir; Ginosar, Ran",IEEE COMPUTER ARCHITECTURE LETTERS,2014,y,title,not cacti,,,
78,Dry matter accumulation and seasonal partitioning in mature Opuntia ficus-indica (L.) Mill. fruiting trees,"Liguori, Giorgia; Inglese, Paolo; Sortino, Giuseppe; Inglese, Guglielmo",ITALIAN JOURNAL OF AGRONOMY,2014,y,full text,does not compare across seed or fruit metrics,,,
79,Ecological significance of determinate primary root growth: inter- and intraspecific differences in two species of Gymnocalycium (Cactaceae) along elevation gradients,"Martino, P. A.; Bauk, K.; Ferrero, M. C.; Gurvich, D. E.; Las Penas, M. L.",FLORA,2018,y,full text,does not compare across seed or fruit metrics,,,
80,Good neighbors make good defenses: associational refuges reduce defense investment in African savanna plants,"Coverdale, Tyler C.; Goheen, Jacob R.; Palmer, Todd M.; Pringle, Robert M.",ECOLOGY,2018,y,title,not cacti,,,
81,Algorithm to find a maximum 2-packing set in a cactus,"Flores-Lamas, Alejandro; Alberto Fernandez-Zepeda, Jose; Antonio Trejo-Sanchez, Joel",THEORETICAL COMPUTER SCIENCE,2018,y,abstract,not fruit,,,
82,Comparison of hip function and quality of life of total hip arthroplasty and resurfacing arthroplasty in the treatment of young patients with arthritis of the hip joint at 5 years,"Costa, Matthew L.; Achten, Juul; Foguet, Pedro; Parsons, Nicholas R.",BMJ OPEN,2018,y,title,not cacti,,,
